onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone
205.780624	0.795779	city	5	1	0.947667	0.947667	0	1	0	0	CorrectCommission	1.398762	1.019667	0
206.576569	0.796104	city	2	1	0.897493	0.897493	0	1	0	0	CorrectCommission	1.181791	1.010748	0
207.372391	0.795544	city	1	1	0.807438	0.807438	0	1	0	0	CorrectCommission	0.792363	0.997804	0
208.168045	0.795764	city	3	1	0.716211	0.716211	0	1	0	0	CorrectCommission	0.397862	0.983859	0
208.963837	0.795812	city	10	1	0.599563	0.599563	0	1	0	0	CorrectCommission	0.106564	0.971846	0
209.759613	0.795730	city	2	1	0.516380	0.516380	0	1	0	0	CorrectCommission	0.466278	0.964241	0
210.555557	0.796160	city	6	1	0.450003	0.450003	0	1	0	0	CorrectCommission	0.753318	0.962812	0
211.351532	0.795813	city	9	1	0.399686	0.399686	0	1	0	0	CorrectCommission	0.970906	0.968523	0
212.147171	0.795453	city	2	1	1.048777	1.048777	0	1	0	0	CorrectCommission	1.836000	0.981496	0
212.942963	0.796138	mountain	8	0	0.000000	0.968937	1	0	0	0	CorrectOmission	1.490744	1.001046	0
213.738815	0.795549	city	4	1	0.618031	0.618031	0	1	0	0	CorrectCommission	0.026703	1.025858	0
214.534454	0.795752	city	10	1	0.453922	0.453922	0	1	0	0	CorrectCommission	0.736368	1.054161	0
215.330261	0.795834	city	5	1	0.409297	0.409297	0	1	0	0	CorrectCommission	0.929344	1.083803	0
216.126083	0.795817	city	6	1	0.453814	0.453814	0	1	0	0	CorrectCommission	0.736836	1.112561	0
216.922012	0.796056	city	2	1	0.354218	0.354218	0	1	0	0	CorrectCommission	1.167527	1.138347	0
217.717804	0.795532	city	7	1	1.052803	1.052803	0	1	0	0	CorrectCommission	1.853412	1.159354	0
218.513458	0.795767	city	1	1	1.050587	1.050587	0	1	0	0	CorrectCommission	1.843828	1.174260	0
219.309250	0.795803	city	10	1	1.149233	1.149233	0	1	0	0	CorrectCommission	2.270409	1.182372	0
220.105026	0.795757	city	9	0	0.000000	0.837432	0	0	0	1	OmissionError	0.922066	1.183630	0
220.900848	0.795897	city	4	1	0.460549	0.460549	0	1	0	0	CorrectCommission	0.707711	1.178642	0
221.696823	0.796032	city	9	1	0.363951	0.363951	0	1	0	0	CorrectCommission	1.125435	1.168521	0
222.492615	0.795556	city	8	1	0.315558	0.315558	0	1	0	0	CorrectCommission	1.334705	1.154757	0
223.288269	0.795775	city	7	1	0.400205	0.400205	0	1	0	0	CorrectCommission	0.968662	1.139077	0
224.084061	0.795811	city	10	1	0.352210	0.352210	0	1	0	0	CorrectCommission	1.176209	1.123273	0
224.879868	0.795802	city	8	1	0.400895	0.400895	0	1	0	0	CorrectCommission	0.965678	1.109025	0
225.675644	0.795730	city	2	1	0.399867	0.399867	0	1	0	0	CorrectCommission	0.970123	1.097811	0
226.471436	0.795859	city	5	1	0.364830	0.364830	0	1	0	0	CorrectCommission	1.121636	1.090774	0
227.267410	0.796104	city	7	1	0.416747	0.416747	0	1	0	0	CorrectCommission	0.897129	1.088657	0
228.063217	0.795513	city	10	1	0.399831	0.399831	0	1	0	0	CorrectCommission	0.970277	1.091775	0
228.858887	0.795816	city	3	1	0.400538	0.400538	0	1	0	0	CorrectCommission	0.967222	1.099975	0
229.654663	0.795739	city	1	1	0.413124	0.413124	0	1	0	0	CorrectCommission	0.912796	1.112625	0
230.450470	0.795871	city	7	1	0.400012	0.400012	0	1	0	0	CorrectCommission	0.969495	1.128669	0
231.246307	0.795798	city	9	1	0.350125	0.350125	0	1	0	0	CorrectCommission	1.185224	1.146741	0
232.042053	0.795709	city	6	1	0.303936	0.303936	0	1	0	0	CorrectCommission	1.384962	1.165176	0
232.837982	0.796146	city	1	1	0.350943	0.350943	0	1	0	0	CorrectCommission	1.181687	1.182192	0
233.633820	0.795523	city	8	1	0.350099	0.350099	0	1	0	0	CorrectCommission	1.185338	1.196083	0
234.429459	0.795742	city	5	1	0.301198	0.301198	0	1	0	0	CorrectCommission	1.396803	1.205366	0
235.225266	0.795875	city	1	1	0.362142	0.362142	0	1	0	0	CorrectCommission	1.133257	1.208980	0
236.021240	0.796078	city	6	1	0.363568	0.363568	0	1	0	0	CorrectCommission	1.127092	1.206518	0
